Most Common Cancers (Incidence),5 YR Age Band,Metrics,Incidence,Incidence Crude Rate,Population Count
Brain and Other Nervous System,00-04 years,,10,3,330334
,05-09 years,,16,4.2,382765
,10-14 years,,4,1,405941
,15-19 years,,6,1.5,403647
,20-24 years,,9,2.2,415327
,25-29 years,,14,3.4,414190
,30-34 years,,13,2.9,448562
,35-39 years,,18,3.7,490288
,40-44 years,,19,3.5,538900
,45-49 years,,25,5.1,485553
,50-54 years,,21,5,422602
,55-59 years,,32,8.8,365313
,60-64 years,,34,12.2,277909
,65-69 years,,32,13.7,233982
,70-74 years,,36,17,212267
,75-79 years,,43,23.1,185773
,80-84 years,,34,23.5,144499
,85-89 years,,11,15.1,72916
,90+ years,,4,9.4,42497
,Total,,381,6.1,6273265
Breast,00-04 years,,0,0,330334
,05-09 years,,0,0,382765
,10-14 years,,0,0,405941
,15-19 years,,0,0,403647
,20-24 years,,1,0.2,415327
,25-29 years,,27,6.5,414190
,30-34 years,,96,21.4,448562
,35-39 years,,278,56.7,490288
,40-44 years,,575,106.7,538900
,45-49 years,,811,167,485553
,50-54 years,,883,208.9,422602
,55-59 years,,983,269.1,365313
,60-64 years,,835,300.5,277909
,65-69 years,,748,319.7,233982
,70-74 years,,730,343.9,212267
,75-79 years,,658,354.2,185773
,80-84 years,,515,356.4,144499
,85-89 years,,245,336,72916
,90+ years,,148,348.3,42497
,Total,,"7,533",120.1,6273265
Cervix Uteri,00-04 years,,0,0,330334
,05-09 years,,0,0,382765
,10-14 years,,0,0,405941
,15-19 years,,2,0.5,403647
,20-24 years,,8,1.9,415327
,25-29 years,,21,5.1,414190
,30-34 years,,58,12.9,448562
,35-39 years,,64,13.1,490288
,40-44 years,,77,14.3,538900
,45-49 years,,54,11.1,485553
,50-54 years,,64,15.1,422602
,55-59 years,,34,9.3,365313
,60-64 years,,42,15.1,277909
,65-69 years,,40,17.1,233982
,70-74 years,,17,8,212267
,75-79 years,,19,10.2,185773
,80-84 years,,16,11.1,144499
,85-89 years,,3,4.1,72916
,90+ years,,4,9.4,42497
,Total,,523,8.3,6273265
Colon and Rectum,00-04 years,,0,0,330334
,05-09 years,,0,0,382765
,10-14 years,,1,0.2,405941
,15-19 years,,1,0.2,403647
,20-24 years,,5,1.2,415327
,25-29 years,,8,1.9,414190
,30-34 years,,8,1.8,448562
,35-39 years,,27,5.5,490288
,40-44 years,,77,14.3,538900
,45-49 years,,125,25.7,485553
,50-54 years,,166,39.3,422602
,55-59 years,,268,73.4,365313
,60-64 years,,296,106.5,277909
,65-69 years,,387,165.4,233982
,70-74 years,,490,230.8,212267
,75-79 years,,561,302,185773
,80-84 years,,484,335,144499
,85-89 years,,298,408.7,72916
,90+ years,,143,336.5,42497
,Total,,"3,345",53.3,6273265
"Corpus and Uterus, NOS",00-04 years,,0,0,330334
,05-09 years,,0,0,382765
,10-14 years,,0,0,405941
,15-19 years,,0,0,403647
,20-24 years,,1,0.2,415327
,25-29 years,,3,0.7,414190
,30-34 years,,9,2,448562
,35-39 years,,28,5.7,490288
,40-44 years,,51,9.5,538900
,45-49 years,,105,21.6,485553
,50-54 years,,166,39.3,422602
,55-59 years,,254,69.5,365313
,60-64 years,,238,85.6,277909
,65-69 years,,215,91.9,233982
,70-74 years,,181,85.3,212267
,75-79 years,,166,89.4,185773
,80-84 years,,117,81,144499
,85-89 years,,33,45.3,72916
,90+ years,,22,51.8,42497
,Total,,"1,589",25.3,6273265
Esophagus,00-04 years,,0,0,330334
,05-09 years,,0,0,382765
,10-14 years,,0,0,405941
,15-19 years,,0,0,403647
,20-24 years,,0,0,415327
,25-29 years,,0,0,414190
,30-34 years,,0,0,448562
,35-39 years,,0,0,490288
,40-44 years,,3,0.6,538900
,45-49 years,,7,1.4,485553
,50-54 years,,8,1.9,422602
,55-59 years,,9,2.5,365313
,60-64 years,,12,4.3,277909
,65-69 years,,21,9,233982
,70-74 years,,22,10.4,212267
,75-79 years,,26,14,185773
,80-84 years,,23,15.9,144499
,85-89 years,,19,26.1,72916
,90+ years,,9,21.2,42497
,Total,,159,2.5,6273265
Hodgkins Lymphoma,00-04 years,,0,0,330334
,05-09 years,,0,0,382765
,10-14 years,,3,0.7,405941
,15-19 years,,23,5.7,403647
,20-24 years,,19,4.6,415327
,25-29 years,,22,5.3,414190
,30-34 years,,15,3.3,448562
,35-39 years,,12,2.4,490288
,40-44 years,,7,1.3,538900
,45-49 years,,9,1.9,485553
,50-54 years,,6,1.4,422602
,55-59 years,,13,3.6,365313
,60-64 years,,8,2.9,277909
,65-69 years,,2,0.9,233982
,70-74 years,,4,1.9,212267
,75-79 years,,5,2.7,185773
,80-84 years,,7,4.8,144499
,85-89 years,,2,2.7,72916
,90+ years,,0,0,42497
,Total,,157,2.5,6273265
Kidney and Renal Pelvis,00-04 years,,8,2.4,330334
,05-09 years,,3,0.8,382765
,10-14 years,,1,0.2,405941
,15-19 years,,1,0.2,403647
,20-24 years,,2,0.5,415327
,25-29 years,,5,1.2,414190
,30-34 years,,7,1.6,448562
,35-39 years,,6,1.2,490288
,40-44 years,,26,4.8,538900
,45-49 years,,32,6.6,485553
,50-54 years,,58,13.7,422602
,55-59 years,,64,17.5,365313
,60-64 years,,54,19.4,277909
,65-69 years,,69,29.5,233982
,70-74 years,,64,30.2,212267
,75-79 years,,63,33.9,185773
,80-84 years,,56,38.8,144499
,85-89 years,,38,52.1,72916
,90+ years,,20,47.1,42497
,Total,,577,9.2,6273265
Leukemia,00-04 years,,28,8.5,330334
,05-09 years,,16,4.2,382765
,10-14 years,,17,4.2,405941
,15-19 years,,9,2.2,403647
,20-24 years,,13,3.1,415327
,25-29 years,,7,1.7,414190
,30-34 years,,13,2.9,448562
,35-39 years,,11,2.2,490288
,40-44 years,,17,3.2,538900
,45-49 years,,46,9.5,485553
,50-54 years,,32,7.6,422602
,55-59 years,,44,12,365313
,60-64 years,,47,16.9,277909
,65-69 years,,72,30.8,233982
,70-74 years,,85,40,212267
,75-79 years,,98,52.8,185773
,80-84 years,,103,71.3,144499
,85-89 years,,55,75.4,72916
,90+ years,,35,82.4,42497
,Total,,748,11.9,6273265
Lung and Bronchus,00-04 years,,2,0.6,330334
,05-09 years,,0,0,382765
,10-14 years,,1,0.2,405941
,15-19 years,,0,0,403647
,20-24 years,,0,0,415327
,25-29 years,,1,0.2,414190
,30-34 years,,11,2.5,448562
,35-39 years,,17,3.5,490288
,40-44 years,,57,10.6,538900
,45-49 years,,124,25.5,485553
,50-54 years,,214,50.6,422602
,55-59 years,,288,78.8,365313
,60-64 years,,436,156.9,277909
,65-69 years,,477,203.9,233982
,70-74 years,,550,259.1,212267
,75-79 years,,529,284.8,185773
,80-84 years,,392,271.3,144499
,85-89 years,,151,207.1,72916
,90+ years,,78,183.5,42497
,Total,,"3,328",53.1,6273265
Melanoma of the Skin,00-04 years,,0,0,330334
,05-09 years,,0,0,382765
,10-14 years,,0,0,405941
,15-19 years,,6,1.5,403647
,20-24 years,,22,5.3,415327
,25-29 years,,24,5.8,414190
,30-34 years,,48,10.7,448562
,35-39 years,,60,12.2,490288
,40-44 years,,80,14.8,538900
,45-49 years,,79,16.3,485553
,50-54 years,,93,22,422602
,55-59 years,,90,24.6,365313
,60-64 years,,58,20.9,277909
,65-69 years,,72,30.8,233982
,70-74 years,,80,37.7,212267
,75-79 years,,77,41.4,185773
,80-84 years,,61,42.2,144499
,85-89 years,,35,48,72916
,90+ years,,15,35.3,42497
,Total,,900,14.3,6273265
NonHodgkins Lymphoma,00-04 years,,2,0.6,330334
,05-09 years,,3,0.8,382765
,10-14 years,,2,0.5,405941
,15-19 years,,6,1.5,403647
,20-24 years,,5,1.2,415327
,25-29 years,,19,4.6,414190
,30-34 years,,22,4.9,448562
,35-39 years,,34,6.9,490288
,40-44 years,,51,9.5,538900
,45-49 years,,64,13.2,485553
,50-54 years,,97,23,422602
,55-59 years,,105,28.7,365313
,60-64 years,,111,39.9,277909
,65-69 years,,125,53.4,233982
,70-74 years,,156,73.5,212267
,75-79 years,,151,81.3,185773
,80-84 years,,136,94.1,144499
,85-89 years,,72,98.7,72916
,90+ years,,34,80,42497
,Total,,"1,195",19,6273265
Not Applicable,00-04 years,,0,0,330334
,05-09 years,,0,0,382765
,10-14 years,,0,0,405941
,15-19 years,,0,0,403647
,20-24 years,,0,0,415327
,25-29 years,,0,0,414190
,30-34 years,,0,0,448562
,35-39 years,,0,0,490288
,40-44 years,,0,0,538900
,45-49 years,,0,0,485553
,50-54 years,,0,0,422602
,55-59 years,,0,0,365313
,60-64 years,,0,0,277909
,65-69 years,,0,0,233982
,70-74 years,,0,0,212267
,75-79 years,,0,0,185773
,80-84 years,,0,0,144499
,85-89 years,,0,0,72916
,90+ years,,0,0,42497
,Total,,0,0,6273265
Oral Cavity and Pharynx,00-04 years,,0,0,330334
,05-09 years,,0,0,382765
,10-14 years,,0,0,405941
,15-19 years,,2,0.5,403647
,20-24 years,,4,1,415327
,25-29 years,,5,1.2,414190
,30-34 years,,10,2.2,448562
,35-39 years,,11,2.2,490288
,40-44 years,,21,3.9,538900
,45-49 years,,33,6.8,485553
,50-54 years,,38,9,422602
,55-59 years,,49,13.4,365313
,60-64 years,,33,11.9,277909
,65-69 years,,31,13.2,233982
,70-74 years,,53,25,212267
,75-79 years,,51,27.5,185773
,80-84 years,,32,22.1,144499
,85-89 years,,27,37,72916
,90+ years,,17,40,42497
,Total,,417,6.6,6273265
Other,00-04 years,,27,8.2,330334
,05-09 years,,6,1.6,382765
,10-14 years,,9,2.2,405941
,15-19 years,,9,2.2,403647
,20-24 years,,14,3.4,415327
,25-29 years,,21,5.1,414190
,30-34 years,,38,8.5,448562
,35-39 years,,50,10.2,490288
,40-44 years,,119,22.1,538900
,45-49 years,,148,30.5,485553
,50-54 years,,201,47.6,422602
,55-59 years,,199,54.5,365313
,60-64 years,,269,96.8,277909
,65-69 years,,325,138.9,233982
,70-74 years,,392,184.7,212267
,75-79 years,,398,214.2,185773
,80-84 years,,406,281,144499
,85-89 years,,242,331.9,72916
,90+ years,,168,395.3,42497
,Total,,"3,041",48.5,6273265
Ovary,00-04 years,,0,0,330334
,05-09 years,,4,1,382765
,10-14 years,,3,0.7,405941
,15-19 years,,10,2.5,403647
,20-24 years,,8,1.9,415327
,25-29 years,,11,2.7,414190
,30-34 years,,15,3.3,448562
,35-39 years,,29,5.9,490288
,40-44 years,,69,12.8,538900
,45-49 years,,84,17.3,485553
,50-54 years,,91,21.5,422602
,55-59 years,,98,26.8,365313
,60-64 years,,91,32.7,277909
,65-69 years,,93,39.7,233982
,70-74 years,,105,49.5,212267
,75-79 years,,90,48.4,185773
,80-84 years,,77,53.3,144499
,85-89 years,,40,54.9,72916
,90+ years,,18,42.4,42497
,Total,,936,14.9,6273265
Pancreas,00-04 years,,0,0,330334
,05-09 years,,0,0,382765
,10-14 years,,0,0,405941
,15-19 years,,0,0,403647
,20-24 years,,0,0,415327
,25-29 years,,1,0.2,414190
,30-34 years,,2,0.4,448562
,35-39 years,,2,0.4,490288
,40-44 years,,9,1.7,538900
,45-49 years,,20,4.1,485553
,50-54 years,,25,5.9,422602
,55-59 years,,38,10.4,365313
,60-64 years,,57,20.5,277909
,65-69 years,,66,28.2,233982
,70-74 years,,87,41,212267
,75-79 years,,117,63,185773
,80-84 years,,127,87.9,144499
,85-89 years,,59,80.9,72916
,90+ years,,35,82.4,42497
,Total,,645,10.3,6273265
Prostate,00-04 years,,0,0,330334
,05-09 years,,0,0,382765
,10-14 years,,0,0,405941
,15-19 years,,0,0,403647
,20-24 years,,0,0,415327
,25-29 years,,0,0,414190
,30-34 years,,0,0,448562
,35-39 years,,0,0,490288
,40-44 years,,0,0,538900
,45-49 years,,0,0,485553
,50-54 years,,0,0,422602
,55-59 years,,0,0,365313
,60-64 years,,0,0,277909
,65-69 years,,0,0,233982
,70-74 years,,0,0,212267
,75-79 years,,0,0,185773
,80-84 years,,0,0,144499
,85-89 years,,0,0,72916
,90+ years,,0,0,42497
,Total,,0,0,6273265
Stomach,00-04 years,,0,0,330334
,05-09 years,,0,0,382765
,10-14 years,,0,0,405941
,15-19 years,,0,0,403647
,20-24 years,,1,0.2,415327
,25-29 years,,1,0.2,414190
,30-34 years,,5,1.1,448562
,35-39 years,,7,1.4,490288
,40-44 years,,9,1.7,538900
,45-49 years,,16,3.3,485553
,50-54 years,,20,4.7,422602
,55-59 years,,28,7.7,365313
,60-64 years,,29,10.4,277909
,65-69 years,,38,16.2,233982
,70-74 years,,59,27.8,212267
,75-79 years,,68,36.6,185773
,80-84 years,,68,47.1,144499
,85-89 years,,48,65.8,72916
,90+ years,,29,68.2,42497
,Total,,426,6.8,6273265
Testis,00-04 years,,0,0,330334
,05-09 years,,0,0,382765
,10-14 years,,0,0,405941
,15-19 years,,0,0,403647
,20-24 years,,0,0,415327
,25-29 years,,0,0,414190
,30-34 years,,0,0,448562
,35-39 years,,0,0,490288
,40-44 years,,0,0,538900
,45-49 years,,0,0,485553
,50-54 years,,0,0,422602
,55-59 years,,0,0,365313
,60-64 years,,0,0,277909
,65-69 years,,0,0,233982
,70-74 years,,0,0,212267
,75-79 years,,0,0,185773
,80-84 years,,0,0,144499
,85-89 years,,0,0,72916
,90+ years,,0,0,42497
,Total,,0,0,6273265
Thyroid,00-04 years,,0,0,330334
,05-09 years,,2,0.5,382765
,10-14 years,,3,0.7,405941
,15-19 years,,21,5.2,403647
,20-24 years,,45,10.8,415327
,25-29 years,,79,19.1,414190
,30-34 years,,147,32.8,448562
,35-39 years,,171,34.9,490288
,40-44 years,,189,35.1,538900
,45-49 years,,153,31.5,485553
,50-54 years,,144,34.1,422602
,55-59 years,,105,28.7,365313
,60-64 years,,90,32.4,277909
,65-69 years,,77,32.9,233982
,70-74 years,,52,24.5,212267
,75-79 years,,29,15.6,185773
,80-84 years,,14,9.7,144499
,85-89 years,,6,8.2,72916
,90+ years,,5,11.8,42497
,Total,,"1,332",21.2,6273265
Unknown,00-04 years,,0,0,330334
,05-09 years,,0,0,382765
,10-14 years,,0,0,405941
,15-19 years,,0,0,403647
,20-24 years,,0,0,415327
,25-29 years,,0,0,414190
,30-34 years,,0,0,448562
,35-39 years,,0,0,490288
,40-44 years,,0,0,538900
,45-49 years,,0,0,485553
,50-54 years,,0,0,422602
,55-59 years,,0,0,365313
,60-64 years,,0,0,277909
,65-69 years,,0,0,233982
,70-74 years,,0,0,212267
,75-79 years,,0,0,185773
,80-84 years,,0,0,144499
,85-89 years,,0,0,72916
,90+ years,,0,0,42497
,Total,,0,0,6273265
Urinary Bladder,00-04 years,,0,0,330334
,05-09 years,,0,0,382765
,10-14 years,,0,0,405941
,15-19 years,,0,0,403647
,20-24 years,,0,0,415327
,25-29 years,,0,0,414190
,30-34 years,,5,1.1,448562
,35-39 years,,7,1.4,490288
,40-44 years,,13,2.4,538900
,45-49 years,,16,3.3,485553
,50-54 years,,20,4.7,422602
,55-59 years,,27,7.4,365313
,60-64 years,,48,17.3,277909
,65-69 years,,46,19.7,233982
,70-74 years,,82,38.6,212267
,75-79 years,,86,46.3,185773
,80-84 years,,82,56.7,144499
,85-89 years,,38,52.1,72916
,90+ years,,33,77.7,42497
,Total,,503,8,6273265
Total,,,"27,735",19.2,144285095
